,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
166,Small,Necker cube,theta,Adagrad,1e-05,1.0000000000000002e-06,47,0.9532258064516128,0.864516129032258,0.8225806451612904,224.94,2.17,0.910692047678349
123,Big,Necker cube,alpha,RMSprop,0.01,0.001,35,0.9282258064516128,0.8161290322580645,0.8225806451612904,166.03,2.16,0.8900106742572497
116,CNN,Necker cube,alpha,Adagrad,0.001,0.001,36,0.9548387096774194,0.8354838709677419,0.8225806451612904,174.87,2.28,0.8505159224337308
168,CNN,Mona Lisa,delta,Adamax,0.001,0.001,36,0.9391129032258064,0.8354838709677419,0.8225806451612904,170.79,2.2,0.8499822095712506
7,CNN,Mona Lisa,alpha,Adam,0.001,0.001,10,0.915725806451613,0.8161290322580645,0.8193548387096774,46.5,2.17,0.8467354563244973
169,Big,Mona Lisa,theta,SGD,0.01,0.001,24,0.9120967741935484,0.8,0.8161290322580645,125.66,2.49,0.9043319694004626
32,Big,Mona Lisa,delta,NAdam,0.01,0.001,36,0.9008064516129032,0.8225806451612904,0.8161290322580645,168.16,2.1,0.9061554883472692
97,CNN,Necker cube,gamma,NAdam,0.001,0.001,6,0.9411290322580644,0.8064516129032258,0.8161290322580645,29.63,2.2,0.8429549902152642
48,Big,Necker cube,theta,RMSprop,0.01,0.001,40,0.9181451612903224,0.8419354838709677,0.8129032258064516,190.99,2.18,0.9101360967799323
51,Big,Mona Lisa,theta,Adamax,0.01,0.001,26,0.8903225806451613,0.7612903225806451,0.8129032258064516,121.02,2.12,0.9123376623376624
185,CNN,Mona Lisa,alpha,RMSprop,0.001,0.001,23,0.9233870967741936,0.7967741935483871,0.8129032258064516,105.94,2.14,0.8389966198185376
41,Small,Mona Lisa,delta,Adagrad,1e-05,1e-05,27,0.9443548387096774,0.8451612903225807,0.8129032258064516,124.19,2.09,0.911225760540829
